DNAJC5	43.88933667
MANF	44.81089807
ARFGEF2	21.83449659
ZNFX1	153.0689146
TMEM139	20.66745055
USP54	26.19438176
DIRC2	29.20505701
WWC1	62.76907468
IRF8	10.32759871
SLC20A2	28.70362547
CYSTM1	153.0689146
DIDO1	29.57660812
MADD	17.28756331
SLC2A1	3.704173498
TMEM256	44.57608312
CLIC3	3.495371599
C2orf54	-0.328492825
KRT81	4.15645777
CXCL2	32.35858805
GID8	29.58301147
YPEL5	17.54082985
SKAP1	6.879371746
H2AFY2	1.251413936
UCA1	6.53809538
CEBPD	6.718767739
NTN4	16.8313544
TGM2	4.143284967
SERPINA1	2.108150112
ARHGAP23	7.346390225
PDGFB	13.72417631
TRABD2A	60.46628936
TIMP2	27.09923796
SLC2A8	10.07703946
SLC2A3	16.41821624
ALPP	56.50046024
ME2	153.0689146
FAM217B	21.56120071
BCL2L1	25.75466407
ITGB5	50.52282787
SLC2A4RG	7.557180808
FABP5	87.52893954
NEURL1B	0.554570959
AMOTL2	23.18636498
RFLNA	20.55777711
ALPPL2	94.32849585
BCL9L	19.99410426
SDHAF3	34.24886235
PTTG1IP	38.31483356
TBC1D2	15.18148991
PLAC8	139.5430862
BCAR1	23.82407
IFIT3	21.99002893
GADD45B	17.72281282
SERINC3	43.32931228
TTC7A	31.82216292
RBM39	32.13650865
AMOTL1	-0.242487923
ANKRD1	4.191912083
CAAP1	29.06326739
NARS	19.4456619
SERTAD3	25.2842119
SIK2	21.75636114
ZBED2	2.978302362
CACNG4	14.9256048
TFAP2C	0.402097957
LTBP3	153.0689146
GPC1	21.62460464
RPL13AP5	153.0689146
PROSER2	17.48492489
