# scale the enrichment scores by number of genes in the gene sets
# this normalization has not effects on the final NES, as indicated by Barbie et al., 2009, online methods, pg. 2
Term|ES	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47
REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	0.4814068615078915	0.4830204741111857	0.4830710891352687	0.48876038425602625	0.4836308604144372	0.4850669914732681	0.4854181744514339	0.486245528426706	0.4854848881108977	0.4866644127800933	0.4840590787825431	0.48347012087398417	0.48189798045231585	0.48417126588149767	0.47992699765540286	0.48376771633026555	0.4858353975571095	0.48401279573778483	0.4857328998051435	0.48322852124373067	0.48515730122691486	0.4818259493805679	0.4858663209129264	0.4815142280843714	0.48248323516788305	0.480298405724778	0.48315666580819244	0.4849398817874926	0.4845412176104224	0.4835348783302013	0.4811208434875906	0.4841621043885319	0.4788883566097022	0.48438695422005723	0.48017355065777245	0.4845823199380715	0.48671925374802155	0.4838615881735176	0.484524388493098	0.4843923969608924	0.4870558606488717	0.4824596023755165	0.4830043838623262	0.48602081948851744	0.4860883998575474	0.48125712366822937	0.4833931322305945	0.48091052432878845
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	0.3139085511926294	0.09887195613632456	0.09994672249068415	0.35499309422467273	0.10570267272537033	0.3507327373615335	0.09945708956681946	0.09015450735950509	0.45905868791221044	0.1052407195625028	0.10818073445269154	0.38499878209865973	0.10162668335916406	0.08406431309767669	0.09227344469551603	0.3655751735162141	0.4332850289142787	0.4503297152794413	0.2998234882713645	0.10680725278073953	0.3953572575653665	0.09923283855492858	0.07920907339198563	0.10459932731867709	0.4108636333496933	0.08203160237682618	0.08676111892966103	0.056072855284708845	0.09463831624411642	0.08591112344185738	0.0979955343753351	0.3661819986652066	0.09367451212143409	0.47154953938296246	0.3771486897373455	0.07976581885082214	0.34373916545574795	0.06741182303845993	0.07454171056668979	0.10322748168289281	0.40621010109682637	0.09621501029325254	0.4438672096226641	0.1830804872215099	0.09152792676683244	0.09207953719377183	0.45164119219742394	0.038370180946890514
REACTOME_ABCA_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.36520294638749057	0.3833698672663686	0.36230144786642104	0.38387530370478506	0.37491350484831354	0.4118075742061234	0.3995426519777522	0.3785231383922408	0.39483780614539604	0.39849711121015924	0.3543191211919879	0.4023890342211961	0.35548226440866054	0.3869300917258254	0.3729950770628453	0.36419072172905026	0.33922002702758164	0.3851414220751104	0.3676269413370839	0.3562205211288857	0.37429424974708225	0.40224924429038983	0.37109689989559536	0.40362155340339123	0.3864801245891307	0.35886584450744546	0.3980959132294286	0.33960910908864544	0.3746662170247622	0.3865588348385581	0.4125601225590473	0.3976046591417	0.37196393504018593	0.34507290689258935	0.3315505786707867	0.322647501341194	0.3307582951098145	0.3398561696284153	0.3883232940573443	0.32087269795397044	0.35439140609590003	0.3599735897649178	0.3686812517059961	0.3977926057416871	0.36794758755433954	0.3711952363341654	0.3992045392279316	0.42753681499919044
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.36520294638749057	0.3833698672663686	0.36230144786642104	0.38387530370478506	0.37491350484831354	0.4118075742061234	0.3995426519777522	0.3785231383922408	0.39483780614539604	0.39849711121015924	0.3543191211919879	0.4023890342211961	0.35548226440866054	0.3869300917258254	0.3729950770628453	0.36419072172905026	0.33922002702758164	0.3851414220751104	0.3676269413370839	0.3562205211288857	0.37429424974708225	0.40224924429038983	0.37109689989559536	0.40362155340339123	0.3864801245891307	0.35886584450744546	0.3980959132294286	0.33960910908864544	0.3746662170247622	0.3865588348385581	0.4125601225590473	0.3976046591417	0.37196393504018593	0.34507290689258935	0.3315505786707867	0.322647501341194	0.3307582951098145	0.3398561696284153	0.3883232940573443	0.32087269795397044	0.35439140609590003	0.3599735897649178	0.3686812517059961	0.3977926057416871	0.36794758755433954	0.3711952363341654	0.3992045392279316	0.42753681499919044
REACTOME_ABORTIVE_ELONGATION_OF_HIV1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.40416572183827437	0.4006472721433503	0.40042407639295063	0.41292496352067193	0.41049006213241324	0.41187640946692683	0.40259363253436703	0.3960143820960943	0.41000709010626984	0.42279981238229397	0.40490159714115553	0.420549312227246	0.38970353585180567	0.38593297992422554	0.39909438666964553	0.39943710249103287	0.39713952832776045	0.3994940909003585	0.4066386466846709	0.3926952502728391	0.4054115637685289	0.4048932420499706	0.4128498461761264	0.40390925511307696	0.38807818065575655	0.39778011823345566	0.40225896021584945	0.3995820384444931	0.4070252977467604	0.4100482793530563	0.40619411095299074	0.41259810172275335	0.3890308785865213	0.4004590833585112	0.3795646438048807	0.39389296796827644	0.4020194554486844	0.4000265091169168	0.41079563396017676	0.3920639371618406	0.41343440695633427	0.40762157413847727	0.3770804346949376	0.40013431997190396	0.4019411606427269	0.3811881267002163	0.39359159965868	0.3951449055500706
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.1697663160922541	0.17633231772016103	0.2567787014973351	0.260387374457707	0.21331280156401036	0.231412012993637	0.24580764339185748	0.3121900063405882	0.2281482638569068	0.2209948795236971	0.2928566190474372	0.16251730641999712	0.2351674211959729	0.25999125787619337	0.39781632131301087	0.2555098462959292	0.2263585734023571	0.2253878150617979	0.2512266959982316	0.2839846544933926	0.22092554125968156	0.2687350865543378	0.22533464260889124	0.248811040251327	0.3629287785811044	0.22746572352978964	0.20864544512177818	0.3555091572009218	0.2901058688700482	0.2765223089421861	0.3292440437376049	0.27173469296433844	0.2636100895979704	0.23673739396854074	0.3422342113097978	0.3210752286680622	0.19215711273517566	0.343065280334371	0.29224437105526563	0.3128818797394812	0.2356360792037664	0.25577044877011423	0.1925269091844031	0.3095877874042572	0.2691541116505064	0.3408880968347546	0.21413859889659118	0.2029353036209282
REACTOME_ACTIVATED_AMPK_STIMULATES_FATTY_ACID_OXIDATION_IN_MUSCLE	0.28684313380221516	0.2752989404203277	0.2763495790968939	0.2662239242743739	0.3317445274383075	0.3321079897687632	0.2952841390253722	0.28667322434583853	0.28695825905804245	0.3308877125977997	0.28721490676841677	0.2970105827451255	0.2732536055468727	0.3146159845680302	0.30090835249604725	0.3192916288009612	0.3096459854102469	0.31427657246459095	0.2793870448597606	0.3178086707451401	0.2393039722341309	0.25884637085542134	0.2695578694055033	0.24823662129897775	0.30958852989068236	0.2584743360769694	0.2683508125177953	0.2630358959499859	0.3537491543132208	0.32194673313525657	0.3338002956958634	0.3644477883405464	0.27350971257545215	0.30264907469512364	0.33146321641072923	0.3369502435920094	0.2725298854305717	0.3165499722164026	0.3400154584522802	0.3270161735269301	0.32904073321926997	0.32589377810154496	0.3122964444362896	0.29717535092906205	0.28511940795041657	0.3130476441716556	0.32719315235444874	0.33493576055303664
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.2446046577707139	0.22979548154220622	0.2660933800566213	0.17109946798168713	0.20986238544107422	0.220550626540025	0.2262470441144168	0.22607572055912886	0.24333795701400512	0.24599165929539624	0.2224638285666242	0.2346496566408308	0.2092490944025083	0.25293401208998406	0.25923721314186715	0.19412245547063273	0.23048910941895365	0.2589955350100865	0.2353767339329314	0.24448272391572756	0.2455953036192795	0.21938714641001278	0.2637195424620728	0.17556398289144898	0.23995474046167456	0.24834064164169134	0.2024611481318701	0.2577934861525133	0.22801472319057783	0.22615643511779898	0.22705025134957788	0.23752942518985004	0.22671393355604819	0.25876994093266953	0.24222574439767963	0.22270929442349044	0.23694472685012238	0.18258933655317694	0.18752521127922303	0.22344944375532375	0.21201641519825246	0.15840297584506535	0.23915718413578896	0.2519016721460598	0.22153127703577574	0.2348218991286737	0.24888266226265565	0.22441468312933976
REACTOME_ACTIVATED_POINT_MUTANTS_OF_FGFR2	-0.06167398517052845	-0.07307567843862287	-0.025292066471988055	-0.027316954155161062	-0.043482494005756586	-0.07429199917300452	0.02763515718679097	-0.051533329929007755	-0.07593680888084788	-0.026168442814819014	-0.07611029376133296	-0.02111890437354798	-0.04490858058582495	-0.03800729308682797	-0.038851099486688086	-0.05227001196494662	-0.0800272250282748	-0.012316915236340757	-0.009407598981429934	0.012718979481664054	-0.041803745380443916	-0.07677662342963358	-0.07858754788040725	-0.07887622686914801	0.020281299215905862	-0.07471154660428117	-0.1012486136451776	0.005247245374552019	-0.025401876548296863	0.022793788401075505	0.006698496507268594	-0.07228003971882718	-0.08789460879680112	-0.10317877714558835	-0.03287454238386925	-0.014853847794988075	-0.019367035252656744	0.019699894301263367	-0.045409728352192785	0.04919561793588305	-0.08021894537184146	-0.020125984791807477	-0.07054598117105089	-0.047756299944057785	-0.10058137454818648	-0.0035478744097149533	-0.10107151801353695	-0.032541714783219614
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	0.29125080818615506	0.32817613309542865	0.30825129282755837	0.2630648030766324	0.20911805958205196	0.26838660051639546	0.2691257725016736	0.2880509291524718	0.35421003855497124	0.2557009769199092	0.33504546955872194	0.24396702277011445	0.30270296317671896	0.3060068368995893	0.3405149627570538	0.32443733174269157	0.2794374837460557	0.315302674902154	0.32225820854543186	0.3145994761111408	0.3215104876883098	0.2948926729426725	0.26993460961897636	0.25742290500626364	0.2977371825675606	0.32465984054778274	0.24435548187755735	0.3197559253273988	0.3014110803274438	0.3370829211230628	0.29923932479375737	0.32186524152221774	0.3123507785707518	0.28438193618717034	0.32728397739379816	0.306388759454646	0.27184952435611404	0.3276648106050682	0.30878640309933914	0.27602251481861967	0.2716499966348889	0.2973058235528102	0.2768901665561006	0.31257048680699867	0.2769019545560634	0.30067228444782884	0.2892675118041286	0.2777662545549307
