Term|NES	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47
REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	0.4725438578581062	0.4776107243377025	0.4763735369361232	0.49302194505443925	0.4792878494753495	0.48403247359475776	0.4817903311327425	0.48717521162125016	0.48529968996948125	0.48646911077024724	0.4787916495075073	0.4778797687045582	0.4759159265919688	0.48135814319475184	0.4713818304227942	0.4781971899654523	0.4839442220848667	0.4819335321820791	0.48570598886588784	0.4778652740130768	0.48300001851277663	0.47358850797271557	0.48498612070099856	0.47009387660817137	0.47364480282369087	0.4686161434484893	0.47428677053135093	0.48327531541739654	0.482322754943612	0.4799546067303622	0.4704650567184542	0.4830114550688095	0.46366739468683227	0.48196699717275693	0.47091058174024353	0.48292769414939235	0.4890900271007719	0.48055396907453046	0.4821118407451946	0.4815381198326823	0.4869890895410175	0.4761607856414045	0.47641986763035854	0.485506990149567	0.4847650646142515	0.47097638478210585	0.4780076853131885	0.4709013029079948
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	-0.04033801424366046	0.0991200792002358	0.12522849603179886	0.08716131205610092	0.1478170401758344	0.11973483734562568	0.1201831529770876	0.05996248612111042	0.3749342369347402	0.143477209462368	0.15273625875984354	0.13033960504615258	0.13807056855655964	0.05992351257853517	0.05268380974064566	0.10382834445726348	0.2832102667116907	0.3410905009091599	-0.07805161386336124	0.14674754675580762	0.17890707418350366	0.11598663760231366	0.024783550631888616	0.1283764926099279	0.23258577337147016	0.05067648905517115	0.05191466520864144	-0.057665279172627815	0.09223267894823281	0.05429002980484077	0.09219823763319986	0.10768017188126909	0.11788798700680839	0.41357850411560876	0.14561267367161454	0.03891880532010445	0.04629427213138585	-0.02162175768289362	0.01168281768657313	0.12092656681783027	0.21026892717426326	0.08345100458264015	0.32979280266082894	-0.0424838694322023	0.08221566446047666	0.08186866198665659	0.34925356759992476	-0.1301632708628939
REACTOME_ABCA_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.058741270326507805	0.10653893585819486	0.04535005071785697	0.12999029780911078	0.08252770940415062	0.2236337198751152	0.18681783075567968	0.11325330969536015	0.17361592345527618	0.1748534881312546	0.048433154663678216	0.18546486119422698	0.04705816178457582	0.1154522789581044	0.09401739357090819	0.044724505825388075	-0.030427395906176914	0.12983922809498608	0.04575117013784434	0.054237433865800655	0.08659512857415833	0.18732686225888207	0.07392533878410183	0.193437938536931	0.13462982128667822	0.05057441296193255	0.17607919839364614	0.002169639716097323	0.09586890163175213	0.13267373160067888	0.2268735655782786	0.1682520217929334	0.09205198718216774	-0.007943717353443234	-0.051298388152855	-0.031448125764385444	-0.07126709916714397	-0.006296105717657188	0.16302926883847538	-0.003983477069526428	0.037802543040977334	0.07719656017241512	0.07053078605519181	0.18328749248957316	0.0762008262461259	0.08294592397891763	0.17714365844833044	0.2630581344103267
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.058741270326507805	0.10653893585819486	0.04535005071785697	0.12999029780911078	0.08252770940415062	0.2236337198751152	0.18681783075567968	0.11325330969536015	0.17361592345527618	0.1748534881312546	0.048433154663678216	0.18546486119422698	0.04705816178457582	0.1154522789581044	0.09401739357090819	0.044724505825388075	-0.030427395906176914	0.12983922809498608	0.04575117013784434	0.054237433865800655	0.08659512857415833	0.18732686225888207	0.07392533878410183	0.193437938536931	0.13462982128667822	0.05057441296193255	0.17607919839364614	0.002169639716097323	0.09586890163175213	0.13267373160067888	0.2268735655782786	0.1682520217929334	0.09205198718216774	-0.007943717353443234	-0.051298388152855	-0.031448125764385444	-0.07126709916714397	-0.006296105717657188	0.16302926883847538	-0.003983477069526428	0.037802543040977334	0.07719656017241512	0.07053078605519181	0.18328749248957316	0.0762008262461259	0.08294592397891763	0.17714365844833044	0.2630581344103267
REACTOME_ABORTIVE_ELONGATION_OF_HIV1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.28835563887237475	0.2675530360205444	0.2711279620515399	0.3276221869937271	0.30669077737249595	0.30861822557225405	0.2890267112298203	0.2558875731494905	0.3166643398531481	0.35187995564213104	0.28670897855437655	0.3396193215486362	0.26409926931630084	0.22927067685512595	0.28140117650117863	0.25946174225533897	0.26421687987350767	0.2877631264353432	0.2923405536521493	0.24681109893901793	0.2922502125237016	0.28828518433503303	0.31365511855606404	0.29800103751572565	0.24599600246358944	0.2736262389371144	0.2736114627007232	0.27078444825992676	0.3016547582073993	0.3150211065516005	0.2918148384564028	0.3175786385694822	0.22929993644559377	0.26771501361491784	0.20101225334735862	0.2558108097702273	0.29172485917938784	0.2703046632442627	0.3061256071635197	0.25376136635331925	0.32734049665085585	0.3110836247279655	0.19076704497624536	0.2842483049607297	0.2795768000000942	0.21195483591340514	0.24917441206527263	0.2648170362187991
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	-0.21327206691596046	-0.2760538184614146	-0.007041315024413781	-0.1429822322169143	-0.17129350676608393	-0.25770008552570833	-0.17974623159213346	0.036988256182917345	-0.21209194216291088	-0.1665505325675846	-0.016294873622280152	-0.2374304738884003	-0.08032120577614447	0.003564052450647735	0.3327103072395643	-0.1900217901206556	-0.24192326110792545	-0.15691270089679865	-0.1536912824659761	-0.071046575204511	-0.13059244519185095	-0.11571200070946286	-0.14752024071447076	-0.1622798630687145	0.24767327004998985	-0.08469932271075643	-0.23883670854146655	0.17225759630783438	0.0005935417569601149	-0.03542266504388106	0.10659340893153182	-0.13573050676220477	-0.024029018361120015	-0.14334585268543598	0.13685891997590316	0.09884077057988438	-0.24146907130867887	0.17596732085631733	0.13665537436151856	0.06352187431666548	-0.17496882933486468	-0.18683418983349154	-0.2364055136374074	0.18877237873976668	-0.10390383308070474	0.11360271013532161	-0.20530116249853614	-0.27694894062114794
REACTOME_ACTIVATED_AMPK_STIMULATES_FATTY_ACID_OXIDATION_IN_MUSCLE	0.10986740741489767	0.06113737112584525	0.00322317451009937	-0.04484657800031821	0.0580661294319332	0.030057160204124127	0.13162945774434942	0.055199965248661685	0.097911974659792	0.04997628395388836	0.031224345951875537	0.14157389238808013	0.021751986308015635	0.02830206954895852	0.10278482879111105	0.06442015630802181	0.12584256441476654	0.13186170399743993	0.008358003470723033	0.13927953619088243	0.06464869669511958	0.018136681600763725	-0.030593790017420696	-0.08608356393026126	-0.008601953329251668	-0.05322311044313282	0.013202813747880862	-0.053295637239082656	0.10661887047234332	0.0229392676082542	0.041082823459788406	0.1746344403955863	-0.003279320443833987	0.07909016290647164	0.09896916354419087	0.05045247181986286	0.02664706419374042	-0.016941334004001843	0.08355950694040012	0.050479491644601006	0.055203817039906684	0.013614079306716	0.17460656736354574	0.06719376835349349	0.023424283897257325	0.13206698883655557	0.17258825754502663	0.1283814909168824
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.17677656772603112	0.1240069497262427	0.10811425445098323	0.08758671267419323	0.16681191691936825	0.14685708696765207	0.13582868474701634	0.06086528706196583	0.11163741420577487	0.15625747221429853	0.10565876406845474	0.11573395762570808	0.13516983353646517	0.14268716589609073	0.10361421496340967	0.11493087406108939	0.14288824538044123	0.12445696179669175	0.06977824074061663	0.16745645394556505	0.10730227720594741	0.12352903382798942	0.13644263967281822	0.10849257861546875	0.09630959881663716	0.10992000486069875	0.14735875462506584	0.11891818628808967	0.11893433876567763	0.09139110476824618	0.1549826392962376	0.1440824272012652	0.1169411911667597	0.14662506769807643	0.1643602975499546	0.14214416916554337	0.08705409129014628	0.10413781687744976	0.06686721028866179	0.13737172199275582	0.1322741765959601	0.07101349561521034	0.14953185585837783	0.10675596869075603	0.18261996664177013	0.09360756868628135	0.1874531636192892	0.134010883679136
REACTOME_ACTIVATED_POINT_MUTANTS_OF_FGFR2	-0.1307720631462018	-0.36580745992967223	-0.04316364226501795	-0.4171734023523507	-0.31846470380394654	-0.41847551053197124	-0.24868046309636044	-0.39995664059377595	-0.44283722643624057	-0.43907034302646814	-0.37942381340008347	-0.3822225430864098	-0.2289674813777744	-0.10641015477675721	-0.4780131956591808	-0.3977822396851887	-0.4551152267043479	-0.1994837549803468	-0.08296908842043353	-0.34235720428059035	-0.11786923184505775	-0.3936603985667031	-0.4034643577130635	-0.3837555574388673	0.1836300047695327	-0.4265819578417819	-0.44166963761565226	-0.25403617350086755	-0.3885288389995614	-0.3301539338752549	-0.4220112783808743	-0.49793780806643895	-0.038405359270292004	-0.45382853249224175	0.06443648207518071	-0.3814018831702464	-0.43952317006771613	-0.2915133600288236	-0.41828373396615337	-0.3305089381052284	-0.4448391436192477	-0.23847735025397465	-0.39634470431618374	-0.4087546732149523	-0.4521866379286147	-0.3374095560277831	-0.43621144757981095	0.10398257823194655
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	0.12839714619913328	0.11298863989805591	0.05782400331350247	0.10772017430474712	0.08495405252341662	0.06632889117665978	0.07369910156400389	0.05286786604116795	0.12410271661399211	0.09776526374741126	0.12586625433423218	0.05972018783116319	0.18299900703062358	0.17637107751840303	0.15945206720171945	0.09692673573030902	0.08953906638871062	0.10644849506456454	0.0850130821490246	0.07375499973012521	0.09661327052383575	0.13183857713371724	0.05458798132450549	0.10421437089560934	0.09924078341228784	0.1141297245866561	0.11017391013661838	0.12752781866251328	0.05521527630190747	0.13226950905483675	0.03830960700273732	0.089955378219775	0.06294743684929464	0.09416899815509816	0.13917302820560912	0.12918958631576682	0.08062328213033312	0.11940405492005111	0.05245354453663198	0.056352833588188836	0.06936736239919644	0.09484358552067941	0.0798948272246797	0.19617226995549739	0.08778427787900091	0.13639167503082666	0.11264406945893705	0.10717420848980444
REACTOME_ACTIVATED_TLR4_SIGNALLING	0.11012139231629188	0.14769725308367299	0.13000617003964615	0.11344269529824282	0.15925221530991723	0.12295688330018502	0.12517979992129133	0.09784485848297196	0.12319486651784355	0.13666568871222542	0.13483856518672327	0.09050148101700313	0.18613540936200737	0.18685998963226735	0.1490289178594291	0.15043078706375718	0.10902218682835137	0.11269001675968589	0.08682636033760045	0.13456094985231465	0.1341260895978134	0.17580713177307483	0.09612827684640719	0.13056163899258874	0.10713479738831008	0.1551649295547514	0.14788675556684538	0.155877337412652	0.12914969755842418	0.1474709113781774	0.1168369016052787	0.13591532477966792	0.11585970764198555	0.12298457311747917	0.19386509521187634	0.1730348652046305	0.13030301329667368	0.1381776311298573	0.07954864732043757	0.12441430954827194	0.1067850701321479	0.11396170142068235	0.15817292239658146	0.1630317225055879	0.12366975461957173	0.15149860656316785	0.1160707137663071	0.12542748429162856
