0,A1BG,SIDG00001,ENSG00000121410
1,A1BG-AS1,SIDG00002,ENSG00000268895
2,A1CF,SIDG00003,ENSG00000148584
3,A2M,SIDG00004,ENSG00000175899
4,A2M-AS1,SIDG00005,ENSG00000245105
5,A2ML1,SIDG00006,ENSG00000166535
6,A2ML1-AS1,SIDG00007,ENSG00000256661
7,A2ML1-AS2,SIDG00008,ENSG00000256904
8,A2MP1,SIDG00009,ENSG00000256069
9,A3GALT2,SIDG00010,ENSG00000184389
10,A4GALT,SIDG00011,ENSG00000128274
11,A4GNT,SIDG00012,ENSG00000118017
12,AAAS,SIDG00017,ENSG00000094914
13,AACS,SIDG00019,ENSG00000081760
14,AACSP1,SIDG00020,ENSG00000250420
15,AADAC,SIDG00021,ENSG00000114771
16,AADACL2,SIDG00022,ENSG00000197953
17,AADACL2-AS1,SIDG00023,ENSG00000242908
18,AADACL3,SIDG00024,ENSG00000188984
19,AADACL4,SIDG00025,ENSG00000204518
20,AADACP1,SIDG00026,ENSG00000240602
21,AADAT,SIDG00027,ENSG00000109576
22,AAED1,SIDG00028,ENSG00000158122
23,AAGAB,SIDG00029,ENSG00000103591
24,AAK1,SIDG00030,ENSG00000115977
25,AAMDC,SIDG00031,ENSG00000087884
26,AAMP,SIDG00032,ENSG00000127837
27,AANAT,SIDG00033,ENSG00000129673
28,AAR2,SIDG00034,ENSG00000131043
29,AARD,SIDG00035,ENSG00000205002
30,AARS,SIDG00036,ENSG00000090861
31,AARS2,SIDG00037,ENSG00000124608
32,AARSD1,SIDG00038,ENSG00000266967
33,AARSP1,SIDG00039,ENSG00000249038
34,AASDH,SIDG00040,ENSG00000157426
35,AASDHPPT,SIDG00041,ENSG00000149313
36,AASS,SIDG00042,ENSG00000008311
37,AATBC,SIDG00043,ENSG00000215458
38,AATF,SIDG00044,ENSG00000275700
39,AATK,SIDG00045,ENSG00000181409
40,ABALON,SIDG00047,ENSG00000281376
41,ABAT,SIDG00048,ENSG00000183044
42,ABCA1,SIDG00049,ENSG00000165029
43,ABCA2,SIDG00050,ENSG00000107331
44,ABCA3,SIDG00051,ENSG00000167972
45,ABCA4,SIDG00052,ENSG00000198691
46,ABCA5,SIDG00053,ENSG00000154265
47,ABCA6,SIDG00054,ENSG00000154262
48,ABCA7,SIDG00055,ENSG00000064687
49,ABCA8,SIDG00056,ENSG00000141338
50,ABCA9,SIDG00057,ENSG00000154258
51,ABCA9-AS1,SIDG00058,ENSG00000231749
52,ABCA10,SIDG00059,???
53,ABCA11P,SIDG00060,???
54,ABCA12,SIDG00061,???
55,ABCA13,SIDG00062,???
56,ABCA17P,SIDG00063,???
57,ABCB1,SIDG00064,ENSG00000085563
58,ABCB4,SIDG00065,ENSG00000005471
59,ABCB5,SIDG00066,ENSG00000004846
60,ABCB6,SIDG00067,ENSG00000115657
61,ABCB7,SIDG00068,ENSG00000131269
62,ABCB8,SIDG00069,ENSG00000197150
63,ABCB9,SIDG00070,ENSG00000150967
64,ABCB10,SIDG00071,???
65,ABCB10P1,SIDG00072,???
66,ABCB10P3,SIDG00073,???
67,ABCB10P4,SIDG00074,???
68,ABCB11,SIDG00075,???
69,ABCC1,SIDG00076,ENSG00000103222
70,ABCC2,SIDG00077,ENSG00000023839
71,ABCC3,SIDG00078,ENSG00000108846
72,ABCC4,SIDG00079,ENSG00000125257
73,ABCC5,SIDG00080,ENSG00000114770
74,ABCC5-AS1,SIDG00081,ENSG00000223882
75,ABCC6,SIDG00082,ENSG00000091262
76,ABCC6P1,SIDG00083,ENSG00000256340
77,ABCC6P2,SIDG00084,ENSG00000255277
78,ABCC8,SIDG00085,ENSG00000006071
79,ABCC9,SIDG00086,ENSG00000069431
80,ABCC10,SIDG00087,???
81,ABCC11,SIDG00088,???
82,ABCC12,SIDG00089,???
83,ABCC13,SIDG00090,???
84,ABCD1,SIDG00091,ENSG00000101986
85,ABCD1P2,SIDG00093,ENSG00000215151
